name,teams,gender,height,race,weight,eyecolor,haircolor,fullname,alteregos,aliases,placeofbirth,firstappearance,creator,occupation,base,relatives,intelligence,strength,speed,durability,power,combat,superPowers
Egg Fu,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ebony Maw,,Male,0,Alien,,Blue,White,Ebony Maw,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value"">500</div>","<div class=""stat-value"">72</div>","<div class=""stat-value"">65</div>","<div class=""stat-value"">135</div>","<div class=""stat-value"">80</div>","Accelerated Healing,Adaptation,Agility,Animal Control,Durability,Empathy,Force Fields,Hypnokinesis,Insanity,Intelligence,Mind Control,Omnilingualism,Stealth,Telekinesis,Teleportation"
Elsa,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">145</div>","<div class=""stat-value"">1,000</div>","<div class=""stat-value"">66</div>","<div class=""stat-value"">30</div>","<div class=""stat-value"">155</div>","<div class=""stat-value"">80</div>","Cold Resistance,Element Control,Elemental Transmogrification,Energy Blasts,Energy Constructs,Energy Manipulation,Intelligence,Magic,Matter Manipulation,Molecular Manipulation,Self-Sustenance,Water Control,Weather Control"
Ebeneezer Dark,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Earthquake,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Elaine Belloc,,Female,0,God / Eternal,,,,,"
",,,,,,,,"<div class=""stat-value"">170</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">120</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">674</div>","<div class=""stat-value"">100</div>","Accelerated Healing,Astral Projection,Biokinesis,Clairvoyance,Cold Resistance,Death Touch,Dimensional Awareness,Energy Manipulation,Fire Control,Fire Resistance,Flight,Grim Reaping,Immortality,Intangibility,Invulnerability,Light Control,Longevity,Magic,Matter Manipulation,Mind Control,Molecular Manipulation,Omnilingualism,Omnipotent,Omnipresent,Omniscient,Phasing,Portal Creation,Power Nullifier,Precognition,Psionic Powers,Reality Warping,Regeneration,Resurrection,Self-Sustenance,Shapeshifting,Size Changing,Super Strength,Telekinesis,Telepathy,Teleportation,Time Manipulation,Time Travel,Weather Control"
Elijah Snow,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Eonar,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Equinox,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Envy,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Eru Iluvatar,,Male,0,,,,White,,"
","The One, The All High, The Father of All, Alone",,,,,Timeless Halls,,,,,,,,"Death Touch,Element Control,Elemental Transmogrification,Empathy,Energy Constructs,Energy Manipulation,Force Fields,Gravity Control,Illumination,Illusions,Immortality,Intelligence,Invisibility,Matter Manipulation,Mind Control,Molecular Manipulation,Nigh-Omnipotent,Nigh-Omnipresent,Nigh-Omniscient,Omnipotent,Omnipresent,Omniscient,Omnitrix,Plant Control,Precognition,Probability Manipulation,Resurrection,Telepathy"
Epione,,Female,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Jennifer Kale,,Female,168,,55,Blue,Blond,Jennifer Kale,"
",Wendy the Good Little Witch ,"Citrusville, Florida ",(Adventures into) Fear#11 (1972),,"Sorceress, student ",," Andrew Jackson Kale (brother, deceased), Joshua Kale (grandfather, deceased), Naomi Kale (aunt), Johnny Blaze ( Ghost Rider ), Barbara and Daniel Ketch (cousins); Illyana Kale, Noble and pastor Kale, Magdalena (ancestors) ",,,,,,,"Force Fields,Magic,Portal Creation"
Ernst,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Jill Valentine,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Jim Powell,,Male,0,,,,,Jim Powell,"
",,,No Ordinary Family S01E01 (2010),,Police Sketch Artist,," Stephanie Powell (wife), Daphne Powell (duaghter) and JJ Powell (son)",,,,,,,"Durability,Jump,Super Strength"
Ernie the Giant Chicken,,Male,0,Animal,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Joffrey Baratheon,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Jimmy Neutron,,,0,,,,,,"
",,,,,,,,,,,,,,"Agility,Audio Control,Cryokinesis,Dimensional Awareness,Dimensional Travel,Duplication,Durability,Electrokinesis,Elemental Transmogrification,Empathy,Endurance,Energy Beams,Energy Blasts,Energy Manipulation,Flight,Hypnokinesis,Intelligence,Intuitive aptitude,Matter Manipulation,Mind Blast,Mind Control,Mind Control Resistance,Peak Human Condition,Photographic Reflexes,Portal Creation,Power Suit,Reflexes,Self-Sustenance,Size Changing,Sonic Scream,Super Speed,Super Strength,Technopath/Cyberpath,Telepathy Resistance,Teleportation,Time Manipulation,Time Travel,Vaporising Beams,Wallcrawling,Weapon-based Powers,Weapons Master,Weather Control"
Necro,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Newt (Maze Runner),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Johann Krauss,,Male,0,,,No eyes,No Hair,Johann Krauss,"
",,"Stuggart, West Germany",B.P.R.D. - Hollow Earth and Other Stories (2003),,"Former Occultist, Scientist",B.P.R.D Headquaters,,,,,,,,"Intelligence,Intuitive aptitude,Invisibility,Magic,Marksmanship,Physical Anomaly,Possession,Psionic Powers,Self-Sustenance,Telekinesis,Telepathy,Telepathy Resistance"
Neville Longbottom,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Neutron,,,0,,,,,,"
 ",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Joker (Gotham),,,0,,,,,,"
","Xander Wilde
Mr. J",,"A Dark Knight: Mandatory Brunch Meeting""",,Cult leader (formerly) Criminal mastermind Terrorist Structural Engineer (formerly),,"Lila Valeska (mother)
Paul Cicero (father)
Jerome Valeska (twin brother)
Zachary Trumble (uncle)",,,,,,,"Agility,Durability,Enhanced Memory,Intelligence,Marksmanship,Stealth,Weapons Master"
Neuro,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ernst Stavro Blofeld,,Male,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Neron,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Nero,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
New Goblin,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Per Degaton,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Nergal,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Penguin (Gotham),,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Penny,,Male,0,Human,,Brown,Brown,,"
",The Traveler,,,,,Brakebills,,"<div class=""stat-value"">153</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">12</div>","<div class=""stat-value"">10</div>","<div class=""stat-value"">172</div>","<div class=""stat-value"">45</div>","Animation,Astral Projection,Astral Travel,Cryokinesis,Dimensional Travel,Energy Constructs,Intelligence,Invisibility,Magic,Mind Control Resistance,Possession,Stealth,Telekinesis,Telepathy,Telepathy Resistance,Teleportation,Vitakinesis"
Neutron,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Pepsi Man,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Penance,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Penance II,,Male,183,,89,Blue,Blond,Robert Baldwin,"
","Formerly Speedball, Masked Marvel","Springdale, Connecticut ",(as Speedball) Amazing Spider-Man Annual #22 (1988); (as Penance) Civil War: Front Line #10 (2007),,"Government operative; former adventurer, reality TV star, student, television show intern, engineering intern, lab worker ",,"Justin Baldwin (father), Madeline Naylor (mother) ",,,,,,,Energy Blasts
Network,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Pele,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Peggy Carter (MCU),,Female,170,,68,Brown,Brown,Margaret Elizabeth Carter,"
","Agent 13, Agent Carter, Peggy Carter","Hampstead, England",Captain America: First Vengeance Vol 1 #3,,S.H.I.E.L.D.'s agent,"Winchester, Hampshire, England","Harrison Carter (father, deceased), Amanda Carter (mother, deceased), Michael Carter (brother, deceased), Sharon Carter (niece)",,,,,,,"Agility,Durability,Endurance,Intelligence,Intuitive aptitude,Marksmanship,Reflexes,Stamina,Stealth,Weapon-based Powers,Weapons Master"
Pegasus Seiya,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Peek-a-Boo,,Female,0,Human,,,,Lashawn Baez,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">25</div>","<div class=""stat-value"">0</div>",Teleportation
Peggy Carter,,Female,0,Human,,,,Peggy Carter,"
",,,"Tales of Suspense #75 (March, 1966)",,,,,"<div class=""stat-value"">153</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">17</div>","<div class=""stat-value"">18</div>","<div class=""stat-value"">14</div>","<div class=""stat-value"">91</div>","Agility,Intelligence,Weapons Master"
Pavel Chekov,,Male,168,Human,69,Brown,Brown,Pavel Andreievich Chekov,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Penguin,,Male,157,,79,Blue,Black,Oswald Chesterfield Cobblepot,"
",,,"DETECTIVE COMICS #58 (December, 1941)",,Trader,Gotham City,"Miranda Cobblepot (Aunt), Miranda (Mother, deceased), Father (deceased)",,,,,,,"Agility,Cold Resistance,Insanity,Intelligence,Stealth,Weapons Master"
Kai (The LEGO Ninjago Movie),,Male,3,,4,Black,Brown,Kai,"
",Red ninja,Ninjago city,The LEGO Ninjago Movie,,Ninja,Destiny's bounty,Nya (sister),,,,,,,"Element Control,Fire Control,Fire Resistance,Heat Generation,Heat Resistance,Weapon-based Powers,Weapons Master"
Paul Blart,,Male,170,,117,,,,"
",Mall Cop,,,,,,,,,,,,,
Payback,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kai,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Paul Phoenix,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kaguya Ōtsutsuki,,Female,0,,,White,White,,"
","The Rabbit Goddess, She of the Beginning, The Demon, Progenitor of Chakra, God, God-Almighty, Mother",,"Volume #70, Naruto Chapter #679",,"Princess, Head of the Ōtsutsuki Clan, Queen of the First Times",,"Hagoromo Ōtsutsuki (Son), Hamura Ōtsutsuki (Son), Asura Ōtsutsuki (Grandson), Indra Ōtsutsuki (Grandson)",,,,,,,"Accelerated Healing,Adaptation,Agility,Animal Control,Density Control,Dimensional Travel,Energy Absorption,Energy Armor,Energy Blasts,Energy Constructs,Energy Manipulation,Fire Control,Flight,Force Fields,Illusions,Immortality,Intelligence,Invulnerability,Longevity,Natural Weapons,Psionic Powers,Reality Warping,Regeneration,Self-Sustenance,Stamina,Stealth,Super Speed,Super Strength,Teleportation,Water Control,Weather Control,Wind Control"
kai,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kaecilius,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kai,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">102</div>","<div class=""stat-value"">100</div>","<div class=""stat-value"">30</div>","<div class=""stat-value"">60</div>","<div class=""stat-value"">106</div>","<div class=""stat-value"">100</div>","Ability Shift,Adaptation,Animal Control,Fire Control,Fire Resistance,Flight,Heat Generation,Heat Resistance,Invisibility,Stealth,Weapons Master"
Kabal,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kael'thas Sunstrider,,Male,0,Elf,,,,,"
",,,,,,,,"<div class=""stat-value"">153</div>","<div class=""stat-value"">5,000</div>","<div class=""stat-value"">102</div>","<div class=""stat-value"">85</div>","<div class=""stat-value"">247</div>","<div class=""stat-value"">95</div>","Astral Projection,Energy Manipulation,Force Fields,Immortality,Insanity,Intangibility,Intelligence,Invisibility,Magic,Magic Resistance,Matter Absorption,Matter Manipulation,Melting,Mind Blast,Precognition,Probability Manipulation,Reality Warping,Telekinesis,Telepathy"
Kaecilius (MCU),,Male,183,,81,Purple,Grey,Kaecilius,"
",The Zealot,"Copenhagen, Denmark",Doctor Strange (2016),,"Master of the Mystic Arts, Zealot",Mobile,"Adria (wife, deceased)",,,,,,,"Agility,Astral Projection,Astral Travel,Darkforce Manipulation,Dimensional Travel,Durability,Endurance,Energy Beams,Energy Constructs,Illusions,Magic,Marksmanship,Peak Human Condition,Portal Creation,Reflexes,Stamina,Stealth,Teleportation,Weapons Master"
Ka-Zar,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kaa The Python,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
K-2SO,,Male,213,,,White,No Hair,,"
","Kaytoo Esso, Kay-Tuesso",Galactic Empire,Rogue One: A Star Wars Story (2016),,,,,,,,,,,"Durability,Marksmanship,Natural Armor,Stamina"
K'ure,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Penance I,,Female,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Ner'zhul,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
K. Rool,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Neo Metal Sonic,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Neo,,,0,,,,,,"
 ",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Nereus,,Male,0,Atlantean,,,,,"
",King Nereus,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Nemesis Prime,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Neo,,Male,183,Human,,Brown,Black,,"
",,,The Matrix,,,,,"<div class=""stat-value"">111</div>","<div class=""stat-value""><span class=""infinite"">∞</span></div>","<div class=""stat-value"">90</div>","<div class=""stat-value"">70</div>","<div class=""stat-value"">183</div>","<div class=""stat-value"">85</div>","Agility,Audio Control,Durability,Electrokinesis,Flight,Intangibility,Light Control,Omniscient,Precognition,Reality Warping,Reflexes,Stamina,Super Speed,Super Strength,Technopath/Cyberpath,Telekinesis,Telepathy Resistance,Vitakinesis,Weapons Master,Weather Control"
Nemesis,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Nemesis,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
Kabuto Yakushi,,,0,,,,,,"
",,,,,,,,"<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>","<div class=""stat-value"">0</div>",
